"",,,,Annexure-II
"",,"District-wise Ground Water Resources availability, utilization and stage of extractn (as in 2024)",,
"",,,,
"",,Ground Water Recharge Current Annual Ground Water Extraction,,
"",,,Annual,
"",,,,Net
"",,Annual,GW,
"",,Non-Monsoon,,Ground Stage of
"",,Monsoon Season Total Extractable,Allocation,
S.NO,District,Season Total Natural Ground,for,Water Ground
"",,Annual,,Availability Water
"",,Recharge Recharge Discharges Water,Domestic,
"",,Recharge Recharge Ground Irrigation Industrial Domestic Total,,for future Extraction(%)
"",,from from Resource,use as on,
"",,from from Water,,use
"",,other other,2025,
"",,rainfall Rainfall Recharge,,
"",,Sources Sources,,
1,Ahmednagar,87414.55 13325.98 14398.48 45925.63 161064.64 8177.03 152887.6 114588.4 0 6196.74 120785.1,6208.26,43145.89 79
2,Akola,28849.65 1680.41 207.45 8900.29 39637.81 2781.18 36856.63 21544.03 0.59 2254.58 23799.2,2375.6,13106.69 64.57
3,Amravati,53494.29 4586.76 1228.13 24483.76 83792.94 5970.71 77822.22 57474.79 0 4209.66 61684.53,5234.93,22251.16 79.26
4,Aurangabad,74759.02 7315.56 4859.62 31620.12 118554.32 5999.41 112554.9 69352.38 0 3462.54 72814.94,3462.48,39739.98 64.69
5,Beed,80902.03 9247.4 6159.28 33981.21 130289.92 6831.73 123458.2 68446.53 39.65 4897.27 73383.42,4897.34,50074.77 59.44
6,Bhandara,32318.64 45408.18 417.8 16188.83 94333.44 7060.07 87273.37 22414.31 171.66 3701.8 26287.78,3759.41,60927.98 30.12
7,Buldhana,64860.26 5506 263.81 21040.92 91671 5350.32 86320.68 60827.15 0 3254.4 64081.64,3365.37,25190.66 74.24
8,Chandrapur,98913.75 5144.22 1471.98 11836.22 117366.17 6228.46 111137.7 14945.32 23.96 17833.18 32802.59,17833.15,78335.09 29.52
9,Dhule,45174.16 7207.86 0 20848.44 73230.46 4005.46 69225 33861.76 102.74 1756.46 35720.96,1756.46,33504.03 51.6
10,Gadchiroli,92707.85 3786.79 0 10921.86 107416.49 5989.89 101426.6 21811.75 1.55 4782.9 26596.33,4782.91,74830.27 26.22
11,Gondia,42680.49 6682.82 645.57 16414.08 66422.96 4372.52 62050.44 10181.03 318.71 6029.98 16529.7,6029.97,45520.74 26.64
12,Hingoli,50143.82 2996.45 1354.99 48447.79 102943.05 5163.68 97779.37 36287.09 2.53 2159.14 38448.77,2159.14,59424.35 39.32
13,Jalgaon,88722.94 8065.52 574.12 47455.32 144817.9 7830.2 136987.7 101248.7 313.65 4887.81 106450.2,4887.79,36664.63 77.71
14,Jalna,58268.35 3561.74 115.46 22708.87 84654.42 4303.18 80351.24 40457.75 68.84 1426.56 41953.19,5697.01,35304.75 52.21
15,Kolhapur,53349.1 10165.36 780.56 71694.67 135989.69 8196.01 127793.7 52178.04 0 2140.38 54318.4,2140.38,73475.26 42.5
16,Latur,44853.57 8517.28 0 17506.84 70877.69 3954.1 66923.59 33580.73 192.54 2199.63 35972.88,2199.62,31415.48 53.75
17,Mumbai,1365.05 104.7 0 85.67 1555.42 77.77 1477.65 0 60.77 619.37 680.14,619.37,797.51 46.03
18,Mumbai Sub,6912.88 132.26 0 108.22 7153.36 357.68 6795.68 0 82.27 1787.66 1869.91,1787.67,4925.77 27.52
19,Nagpur,65716.83 10566.59 2587.16 23996.35 102866.93 5785.48 97081.46 35859.92 354.32 10252.49 46466.69,10252.51,50628.15 47.86
20,Nanded,103267.9 1038.14 3718.96 17584 125609.03 6289.47 119319.6 34865.24 1.21 3385.9 38252.33,3385.92,81090.42 32.06
21,Nandurbar,39900.15 2868.92 0 9066.38 51835.45 2774.95 49060.49 17497.52 0 2991.68 20489.2,2991.68,28571.29 41.76
"",,63,,
