"",,,,,,,
Total Safe,,Semi-Critical,Critical,,Over-Exploited,Saline,
Recharge,,,,,,,
Worthy S.No. Recharge Name of Worthy District Recharge Worthy Area % Assessed of Recharge Worthy Area,%,Recharge Worthy Area %,Area,%,Recharge Worthy Area %,Area,
"(in Units (in",,(in sq.km),(in sq.km),,(in,,
sq.km) (in sq.km) sq.km),,,,,sq.km),,
1 Ahmednagar 15624.75 5172.01,33.1,5972.85 38.23,3825.41 24.48,,654.48 4.19,,
2 Akola 5141.65 4458.18,86.71,683.47 13.29,,,,,
3 Amravati 8392.39 4219.42,50.28,2045.13 24.37,,,1350.95 16.1,776.89,9.26
4 Aurangabad 9501.74 9101.75,95.79,399.99 4.21,,,,,
5 Beed 10352.05 10352.05,100,,,,,,
6 Bhandara 3964.97 3964.97,100,,,,,,
7 Buldhana 8206.15 5068.16,61.76,2079.54 25.34,,,1058.45 12.9,,
8 Chandrapur 10476.57 10476.57,100,,,,,,
9 Dhule 6421.32 6421.32,100,,,,,,
10 Gadchiroli 8866.49 8866.49,100,,,,,,
11 Gondia 4597.05 4597.05,100,,,,,,
12 Hingoli 4662.41 4662.41,100,,,,,,
13 Jalgaon 11378.83 1777.93,15.62,7824.14 68.76,,,1776.76 15.61,,
14 Jalna 7718 7718,100,,,,,,
15 Kolhapur 5621.76 5621.76,100,,,,,,
16 Latur 6635.48 6635.48,100,,,,,,
17 Mumbai 70.04 70.04,100,,,,,,
18 Mumbai Sub 364.94 364.94,,100,,,,,
19 Nagpur 7990.42 7990.42,100,,,,,,
20 Nanded 10177.71 10177.71,100,,,,,,
Total Safe,,Semi-Critical,Critical,,Over-Exploited,Saline,
Recharge,,,,,,,
Worthy S.No. Recharge Name of Worthy District Recharge Worthy Area % Assessed of Recharge Worthy Area,%,Recharge Worthy Area %,Area,%,Recharge Worthy Area %,Area,
"(in Units (in",,(in sq.km),(in sq.km),,(in,,
sq.km) (in sq.km) sq.km),,,,,sq.km),,
21 Nandurbar 4152.78 4152.78,100,,,,,,
22 Nashik 13488.56 7485.45,55.49,3605.88 26.73,2397.23 17.77,,,,
23 Osmanabad 6716.28 6716.28,100,,,,,,
24 Palghar 2760.86 2760.86,100,,,,,,
25 Parbhani 6214 6214,100,,,,,,
26 Pune 12757.28 6839.01,53.61,4431.36 34.74,1486.91 11.66,,,,
27 Raigad 3747.59 3747.59,100,,,,,,
28 Ratnagiri 5113.07 5113.07,100,,,,,,
29 Sangli 8427.58 7678.05,91.11,749.53 8.89,,,,,
30 Satara 8775.07 6080.85,69.3,2694.22 30.7,,,,,
31 Sindhudurg 2793.06 2793.06,100,,,,,,
32 Solapur 14838.9 3080.47,20.76,10265.44 69.18,,,1492.99 10.06,,
33 Thane 2334.47 2334.47,100,,,,,,
34 Wardha 5812.16 5812.16,100,,,,,,
35 Washim 4811.96 4811.96,100,,,,,,
36 Yawatmal 11440.67 11440.67,100,,,,,,
Total Area,,,,,,,
260349 204777.4,78.65,40751.55 15.65,7709.54 2.96,,6333.63 2.43,776.89,0.3
"(sq.km)",,,,,,,
