"",,,,,,,,,,Ground Water Extraction for all uses (ha.m),,,,,Allocation of Ground,,,
"",,,,,,,,,,,,,,,Water Resource for,Net Annual Ground Water,Stage of Ground,
"",,,Water,Annual Ground water,Annual Extractable Ground,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,Domestic Utilisation for,Availability for Future Use,Water Extraction,Categorization of Assessment Unit
S.,BAS,WATER,shed /,Recharge (ham),water Resource (ham),,Domestic,,,Industrial Irrigation,,,,,,,,
"",,,,,,,,,,,,,,,projected year 2025,(ham),(%),
No,IN,SHED,Distric,,,,,,,,C,NC,PQ,Total,,,,
"",,,,,,,,,,,,,,,(ham),,,
"",,,t,,,,,,,,,,,,,,,
"",,,,,,,,,,P Tot,,,,,,,To,
"",,,,C NC PQ Total,C NC PQ Total,C,NC PQ,Total,C,NC C NC PQ Total,,,,,C NC PQ Total,C NC PQ Total,C NC PQ,C NC PQ Total
"",,,,,,,,,,Q al,,,,,,,tal,
1,WF_,Andhrei,Mumb,1501. 0.0 0 1501.,1426. 0.0 0 1426.,,595.,595.,,23. 23. 0.0 0,,619.2,,619.2,595. 0 0 595.,0 807.6 0 807.6,43. 43.,safe safe
"",1,,ai Sub,9 9,8 8,,9,9,,3 3,,,,,9 9,,4 4,
2,BM,BM-1,Osman,729. 3904. 0 4633.,656. 3709. 0 4365.,12.6,87.3,99.9,0.0,377. 0 0 1552. 1930.,390.,1639.,,2030.,12.6 87.4 0 99.9,265. 2069. 0 2335.,59. 44. 46.,safe safe safe
"",,,abad,0 7 7,1 5 5,,,,,6 5 2,2,9,,1,,9 6 5,5 2 5,
"",,,,1227. 1227.,1165. 1165.,,,,,,,,,,,,,
3,BM,BM-1,Pune,0 0,0 0,,48.0,48.0,,0 0 952.3 952.3,,1000.,,1000.,0 48.0 0 48.0,0 165.5 0 165.5,85. 85.,semi_ semi_cri
"",,,,2 2,9 9,,,,,,,4,,4,,,8 8,critical tical
"",,,Ahmed,,,,,,,,,,,,,,49.,
4,BM,BM-1,,0 303.1 0 303.1,0 287.9 0 287.9,,39.4,39.4,,0 0 102.1 102.1,,141.6,,141.6,0 39.4 0 39.4,0 146.4 0 146.4,49.,safe safe
"",,,nagar,,,,,,,,,,,,,,2 2,
5,BM,BM-10,Osman,1343. 82.4 0 1425.,1276. 78.3 0 1354.,6.3,43.1,49.4,0.0,0 0 46.4 671.1 717.5,52.6,714.2,,766.9,6.3 43.1 0 49.4,25.7 562.0 0 587.7,67. 56. 56.,safe safe safe
"",,,abad,4 8,2 5,,,,,,,,,,,,2 0 6,
"",,,,1025. 1025.,,,,,,,,,,,,,,
6,BM,BM-10,Pune,0 0,0 973.9 0 973.9,,45.7,45.7,,0 0 225.0 225.0,,270.7,,270.7,0 45.7 0 45.7,0 703.3 0 703.3,27. 27.,safe safe
"",,,,2 2,,,,,,,,,,,,,8 8,
7,BM,BM-100,Satara,297. 2978. 0 3275.,267. 2829. 0 3096.,18.1,83.8,101.,0.0,107. 0 0 1876. 1984.,125.,1960.,,2085.,101. 18.1 83.8 0,142. 868.7 0 1011.,46. 69. 67.,safe safe safe
"",,,,4 2 6,6 3 9,,,9,,2 9 0,3,7,,9,9,4 0,8 3 4,
8,BM,BM-101,Satara,405. 3986. 0 4391.,364. 3787. 0 4151.,,150.,150.,,3032. 0 0 3032.,,3183.,,3183.,150. 0 0 150.,364. 604.1 0 968.7,84. 76.,semi_cri semi_cri
"",,,,0 6 6,5 3 8,,9,9,,3 3,,1,,1,9 9,5,0 7,tical tical
9,BM,BM-102,Satara,247. 2607. 0 2854.,222. 2477. 0 2699.,,64.0,64.0,,1812. 0 0 1812.,,1876.,,1876.,0 64.0 0 64.0,222. 600.2 0 822.9,75. 69.,semi_crisafe
"",,,,4 4 9,7 1 7,,,,,9 9,,9,,9,,7,8 5,tical
10,BM,BM-103,Satara,1771. 0 0 1771.,1683. 0 0 1683.,,56.6,56.6,,1398. 0 0 1398.,,1454.,,1454.,0 56.6 0 56.6,0 228.6 0 228.6,86. 86.,semi_cri semi_cri
"",,,,9 9,3 3,,,,,1 1,,8,,8,,,4 4,tical tical
11,BM,BM-103,Sangli,0 838.0 0 838.0,0 796.1 0 796.1,,62.8,62.8,,0 0 450.9 450.9,,513.7,,513.7,0 62.8 0 62.8,0 282.4 0 282.4,64. 64.,safe safe
"",,,,,,,,,,,,,,,,,5 5,
"",,,,1080 1681. 2761.,972. 1597. 2569.,,117.,117.,,1524. 1524.,,1642.,,1642.,117. 117.,972.,10 63.,over_ex
12,BM,BM-104,Satara,0,0,,,,,0 0,,,,,0 0,0.0 0 972.3,,safe
"",,,,.3 4 7,3 3 6,,2,2,,8 8,,0,,0,2 2,3,2.8 9,ploited
13,BM,BM-104,Sangli,760. 2382. 0 3142.,684. 2263. 0 2947.,57.3,52.3,109.,0.0,335. 0 0 938.5 1273.,392.,990.9,,1383.,109. 57.3 52.3 0,291. 1272. 0 1563.,57. 43. 46.,safe safe safe
"",,,,1 2 3,1 1 1,,,6,,2 7,5,,,3,6,6 2 8,4 8 9,
14,BM,BM-105,Solapu,142. 1478. 0 1620.,128. 1404. 0 1532.,,36.7,36.7,,1158. 0 0 1158.,,1195.,,1195.,0 36.7 0 36.7,128. 208.9 0 337.1,85. 78.,semi_cri semi_cri
"",,,r,5 0 5,2 1 3,,,,,5 5,,2,,2,,2,1 0,tical tical
15,BM,BM-105,Sangli,0 300.9 0 300.9,0 285.9 0 285.9,,7.3,7.3,,0 0 228.7 228.7,,236.0,,236.0,0 7.3 0 7.3,0 49.8 0 49.8,82. 82.,semi_cri semi_cri
"",,,,,,,,,,,,,,,,,6 6,tical tical
"",,,Solapu,2474. 2474.,2350. 2350.,,,,,1532. 1532.,,1614.,,1614.,,,68. 68.,
16,BM,BM-106,,0 0,0 0,,81.8,81.8,,0 0,,,,,0 81.8 0 81.8,0 736.5 0 736.5,,safe safe
"",,,r,5 5,7 7,,,,,5 5,,3,,3,,,7 7,
17,BM,BM-107,Solapu,1340 3398. 0 4739.,1206 3058. 0 4265.,48.0,104.,151.,0.0,1100 0 0 2331. 3431.,1148,2435.,,3583.,104. 48.0 0 151.,58.4 623.6 0 682.0,95. 79. 84.,semi_cri critical semi_cri
"",,,r,.5 8 3,.4 9 3,,0,9,,.1 4 4,.0,3,,3,0 9,,2 6 0,tical tical
18,BM,BM-108,Solapu,1801 1355. 0 3156.,1711 1287. 0 2999.,34.6,42.8,77.4,0.0,632. 0 0 1061. 1693.,666.,1104.,,1770.,34.6 42.8 0 77.4,1044 183.6 0 1228.,39. 85.59.,semi_crisafe safe
"",,,r,.5 4 9,.5 6 1,,,,,1 2 3,7,0,,7,,.8 4,0 7 0,tical
"",,,Solapu,892. 1401. 2293.,847. 1331. 2179.,,,,,648. 1499.,685.,,,1563.,,161.,80. 65. 71.,semi_cri semi_cri
19,BM,BM-109,,0,0,37.8,25.4,63.1,0.0,0 0 851.8,,877.1,,,37.8 25.4 0 63.2,454.5 0 616.0,,safe
"",,,r,0 7 7,4 6 0,,,,,1 9,9,,,0,,5,9 9 7,tical tical
"",,,Osman,206. 2728. 2935.,196. 2592. 2788.,,,,,1097. 1187.,102.,1168.,,1271.,,1423. 1517.,52. 45. 45.,
20,BM,BM-11,,0,0,13.0,71.1,84.1,0.0,0 0 89.3,,,,,13.0 71.1 0 84.1,94.0 0,,safe safe safe
"",,,abad,7 8 5,4 4 8,,,,,6 0,3,7,,0,,7 7,1 1 6,
"",,,,225. 1229. 1455.,214. 1168. 1382.,,,,,206.,237.,,,1008.,,,11 66. 73.,over_ex semi_cri
21,BM,BM-11,Pune,0,0,31.0,51.3,82.3,0.0,0 0 720.0 926.7,,771.3,,,31.0 51.3 0 82.3,0 397.0 0 397.0,,safe
"",,,,3 7 0,1 2 3,,,,,7,7,,,9,,,1.0 0 0,ploited tical
22,BM,BM-110,Solapu,446. 1544. 0 1990.,402. 1466. 0 1868.,,76.1,76.1,,1231. 0 0 1231.,,1308.,,1308.,0 76.1 0 76.1,402. 158.8 0 560.8,89. 70.,semi_crisafe
"",,,r,7 0 6,0 8 8,,,,,9 9,,0,,0,,0,2 0,tical
"",,,Solapu,1129. 1129.,1073. 1073.,,,,,1044. 1044.,,1075.,,1075.,,,10 10,over_ex over_ex
23,BM,BM-111,,0 0,0 0,,30.9,30.9,,0 0,,,,,0 30.9 0 30.9,0 0.0 0 0.0,,
"",,,r,9 9,4 4,,,,,6 6,,5,,5,,,0.2 0.2,ploited ploited
"",,,Solapu,1636. 1636.,1554. 1554.,,,,,1292. 1292.,,1373.,,1373.,,,88. 88.,semi_cri semi_cri
24,BM,BM-112,,0 0,0 0,,81.8,81.8,,0 0,,,,,0 81.8 0 81.8,0 180.6 0 180.6,,
"",,,r,2 2,4 4,,,,,0 0,,8,,8,,,4 4,tical tical
"",,,,,,,,,,,,,,,,,51. 60. 56.,
25,BM,BM-112,Sangli,65.2 71.2 0 136.5,62.0 67.7 0 129.6,1.9,3.5,5.4,0.0,0 0 30.2 37.4 67.6,32.0,41.0,,73.0,1.9 3.5 0 5.4,29.9 26.7 0 56.6,,safe safe safe
"",,,,,,,,,,,,,,,,,7 5 3,
26,BM,BM-113,Sangli,2599 680.6 0 3279.,2469 646.6 0 3115.,160.,13.5,173.,0.0,1774 0 0 227.1 2001.,1934,240.6,,2175.,160. 13.5 0 173.,534. 406.0 0 940.3,78. 37. 69.,semi_crisafe safe
"",,,,.1 7,.1 7,3,,8,,.6 7,.9,,,5,3 8,3,4 2 8,tical
27,BM,BM-114,Sangli,5090 821.1 0 5911.,4835 738.9 0 5574.,172.,8.9,181.,0.0,2222 0 0 167.9 2390.,2395,176.8,,2572.,172. 8.9 0 181.,2440 562.1 0 3002.,49. 23. 46.,safe safe safe
"",,,,.4 5,.9 8,9,,9,,.3 2,.2,,,0,9 9,.7 8,5 9 1,
28,BM,BM-115,Solapu,1206. 0 0 1206.,1146. 0 0 1146.,,41.6,41.6,,0 0 954.3 954.3,,995.9,,995.9,0 41.6 0 41.6,0 150.6 0 150.6,86. 86.,semi_cri semi_cri
"",,,r,8 8,5 5,,,,,,,,,,,,9 9,tical tical
"",,,,456.,433.,,,,,338.,353.,,,,,,81. 68. 75.,semi_cri semi_cri
29,BM,BM-115,Sangli,375.2 0 832.0,356.5 0 790.4,15.6,12.1,27.7,0.0,0 0 232.0 570.2,,244.1,,597.9,15.6 12.1 0 27.7,80.1 112.4 0 192.5,,safe
"",,,,8,9,,,,,2,9,,,,,,5 5 6,tical tical
30,BM,BM-116,Solapu,1448 2129. 0 3577.,1375 2023. 0 3399.,118.,112.,230.,0.0,685. 0 0 1300. 1985.,803.,1412.,,2216.,118. 112. 0 230.,572. 610.4 0 1182.,58. 69. 65.,safe safe safe
"",,,r,.3 6 9,.9 1 0,1,3,4,,2 5 6,3,8,,1,1 3 4,6 9,4 8 2,
"",,,,505. 1240.,480. 1178.,,,,,337.,341.,,,,,138.,71. 46. 56.,semi_cri
31,BM,BM-116,Sangli,735.4 0,698.7 0,4.1,20.6,24.7,0.0,0 0 302.3 639.9,,323.0,,664.6,4.1 20.6 0 24.7,375.7 0 514.1,,safe safe
"",,,,3 7,0 7,,,,,6,6,,,,,4,2 2 4,tical
"",,,,1445 2296.,1373 2139.,,,,,651.,673.,,,,,700. 1188.,49. 36. 44.,
32,BM,BM-117,Sangli,850.8 0,765.7 0,21.9,22.6,44.5,0.0,0 0 254.8 906.2,,277.5,,950.8,21.9 22.6 0 44.5,488.3 0,,safe safe safe
"",,,,.6 4,.3 0,,,,,4,3,,,,,0 3,0 2 4,
"",,,Solapu,1236. 1236.,1174. 1174.,,,,,1030. 1030.,,1077.,,1077.,,,91. 91.,
