0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Goverrnment Resolution for Constitution of State Level Committee for Estimation of Ground 
Water Resources based on GEC-2015 Methodology",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Goverrnment Resolution for constitution of Permanent State Level Committee for Estimation 
of Ground Water Resources based on GEC-2015 Methodology",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Minutes  of  the  meeting  of  the  State  Level  Committee,  held  on  04th  October,  2024  for 
Approval of Ground Water Resources Assessment, 2024",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,"State-wise Ground Water Resources Availability, Utilization and Stage of Extraction, 2024",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,"District-Wise Ground Water Resources Availability, Utilization and Stage of Extraction, 2024)",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III(A),"Categorization of Blocks/ Mandals/ Taluks in Maharashtra, 2024",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III (B),District Wise Categorization of Blocks/ Mandals/ Taluks for Maharashtra (As In 2024),74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III (C),"Annual Extractable Ground Water Resource of Assessment Units under Different Category 
for Maharashtra (As In 2024)",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III (D),"District  Wise  Annual  Extractable  Ground  Water  Resource  of  Assessment  Units  under 
Different Category for Maharashtra (as in 2024)",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III (E),"Recharge Worthy Area of Assessment unit under Different Category for Maharashtra (as in 
2024)",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III (F),"District  Wise  Recharge  Worthy  Area  of  Assessment  unit  under  Different  Category  for 
Maharashtra (as in 2024)",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV (A),"Categorization of Over Exploited, Critical and Semi Critical blocks/ mandals/ taluks (as in 
2024)",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV (B),Quality problems in Assessment units (as in 2024),84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IV (C),List of Saline Assessment units,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V (A),Summary of Assessment units improved or deteriorated from 2023 to 2024,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V (B),Comparison of Categorization of assessment units (2023 to 2024),88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
