"",,Ground Water Recharge,,,,Current Annual Ground Water Extraction,,,
"",,,,,,,Annual,,
"",,,,,,,,Net,
"",,,,,Annual,,GW,,
"",,Non-Monsoon,,,,,,Ground,Stage of
"",,Monsoon Season,Total,Total,Extractable,,Allocation,Water,Ground
S.NO,District,Season,,Natural,Ground,,for,,
"",,,Annual,,,,,Availability,Water
"",,Recharge Recharge,,Discharges,Water,,Domestic,,
"",,Recharge Recharge,Ground,,,Irrigation Industrial Domestic Total,,for future,Extraction(%)
"",,from from,,,Resource,,use as on,,
"",,from from,Water,,,,,use,
"",,other other,,,,,2025,,
"",,rainfall Rainfall,Recharge,,,,,,
"",,Sources Sources,,,,,,,
22,Nashik,132367.3 15003.4 3856.42 49686.39,200913.47,11142.93,189770.5,104646.4 1202.37 3593.64 109442.4,3593.61,86065.07,57.67
23,Osmanabad,61044.75 8143.27 2583.65 17414.13,89185.8,4502.67,84683.13,48272.7 0.79 2315.87 50589.39,2315.85,34273.83,59.74
24,Palghar,18331.86 365.52 0 3447.27,22144.65,1390.63,20754.02,3929.19 43.8 1017.23 4990.2,1017.24,15763.82,24.04
25,Parbhani,58691.41 1844.79 602.32 26131.14,87269.66,4363.45,82906.21,36212.33 0 1950.18 38162.49,1950.17,44743.74,46.03
26,Pune,94080.55 26016.44 1192.62 73760.12,195049.73,14590.4,180459.3,108266.5 0 8140.88 116407.3,8494.17,71509.58,64.51
27,Raigad,32706.93 192.8 0 5192.29,38092.02,1954.18,36137.84,4227.85 0 1982.81 6210.69,1982.83,29927.15,17.19
28,Ratnagiri,38638.43 177.21 18.49 2242.79,41076.92,2287.19,38789.73,5602.73 0 1331.9 6934.64,1331.93,31855.09,17.88
29,Sangli,42106.88 21549.92 12389.03 65276.51,141322.34,9581.42,131740.9,67073.74 0 3375.47 70449.22,3414.3,61692,53.48
30,Satara,52161.08 18770.96 3744.03 36917.34,111593.41,6895.83,104697.6,60650.26 0 4854.62 65504.91,4854.65,39595.85,62.57
31,Sindhudurg,20891.02 196.26 3.83 2251.76,23342.87,1174.78,22168.09,7429.09 0 2223.48 9652.54,2223.48,12515.55,43.54
32,Solapur,91839.46 11270.79 2954.03 40448.73,146513.01,7657.91,138855.1,102898.5 2.65 4853.01 107754.2,4853.01,37691.34,77.6
33,Thane,14767.22 290.06 0 2232.87,17290.15,953.19,16336.96,2397.66 0 739.61 3137.24,739.61,13199.72,19.2
34,Wardha,57486.01 5453.24 1427.6 25090.54,89457.39,4574.74,84882.65,38993.65 118.8 3455.49 42567.91,3455.53,42458.33,50.15
35,Washim,42509.28 5242.64 68.85 15402.51,63223.28,3279.25,59944.03,32110.92 8.51 2108.93 34228.39,2108.91,25715.64,57.1
36,Yawatmal,97171.18 3119.83 5825.78 18784.37,124901.16,6866.7,118034.5,37340.61 23.21 7636.6 45000.38,7636.59,73037.36,38.12
"",Total(Ham),2069369 275546.06 73450.02 885094.2,3303458.9,188714.58,3114744,1507474 3135.12 139809.8 1650420,145798.86,1508968.94,52.99
"",Total(bcm),20.69 2.76 0.73 8.85,33.03,1.89,31.15,15.07 0.03 1.4 16.5,1.46,15.09,52.99
