"",,,Annexure III (B)
"",,District Wise Categorization of blocks/ mandals/ taluks for Maharashtra (as in 2024),
"",,,
"",,No. of,
"",,Safe Semi-Critical Critical Over-Exploited,Saline
S.No.,District,Assessed,
"",,Units,
"",,Nos. % Nos. % Nos. % Nos. %,Nos. %
1,Ahmednagar,14 4 28.57 5 35.71 4 28.57 1 7.14,
2,Akola,7 6 85.71 1 14.29,
3,Amravati,14 8 57.14 3 21.43 2 14.29 1 7.14,
4,Aurangabad,9 8 88.89 1 11.11,
5,Beed,11 11 100,
6,Bhandara,7 7 100,
7,Buldhana,13 8 61.54 3 23.08 2 15.38,
8,Chandrapur,15 15 100,
9,Dhule,4 4 100,
10,Gadchiroli,12 12 100,
11,Gondia,8 8 100,
12,Hingoli,5 5 100,
13,Jalgaon,15 3 20 10 66.67 2 13.33,
14,Jalna,8 8 100,
15,Kolhapur,12 12 100,
16,Latur,10 10 100,
17,Mumbai,1 1 100,
18,Mumbai,Sub urban 3 3 100,
19,Nagpur,14 14 100,
20,Nanded,16 16 100,
21,Nandurbar,6 6 100,
22,Nashik,15 9 60 4 26.67 2 13.33,
23,Osmanabad,8 8 100,
24,Palghar,8 8 100,
"",,66,
S.No.,District,"No. ofAssessedUnits",Safe,Semi-Critical,Critical,Over-Exploited,Saline,,,,,
"",,,Nos.,%,Nos.,%,Nos.,%,Nos.,%,Nos.,%
25,Parbhani,9,9,100,,,,,,,,
26,Pune,14,9,64.29,4,28.57,1,7.14,,,,
27,Raigad,15,15,100,,,,,,,,
28,Ratnagiri,9,9,100,,,,,,,,
29,Sangli,10,9,90,1,10,,,,,,
30,Satara,11,9,81.82,2,18.18,,,,,,
31,Sindhudurg,8,8,100,,,,,,,,
32,Solapur,11,3,27.27,7,63.64,,,1,0.09,,
33,Thane,7,7,100,,,,,,,,
34,Wardha,8,8,100,,,,,,,,
35,Washim,6,6,100,,,,,,,,
36,Yawatmal,16,16,100,,,,,,,,
"",Total,359,302,84.12,41,11.42,7,1.95,8,2.23,1,0.28
