"",,,,,,
S.No.,Name of District,S.No.,Semi-Critical Unit S.No.,Critical Unit,S.No.,Over-Exploited Unit
1,Ahmednagar,1,Shrigonda 1,Sangamner,1,Rhata
"",(Ahilya Nagar),2,Akole 2,Shrirampur,,
"",,3,Shevgaon 3,Rahuri,,
"",,4,Newasa 4,Kopargaon,,
"",,,,,,
"",,5,Pathardi,,,
"",,,,,,
2,Akola,1,Barshi Takli,,,
"",,,,,,
3,Amravati,1,Achlapur,,1,Chandur Bazar
"",,2,Nandgaon,,2,Warud
"",,3,Morshi,,,
"",,,Daryapur taluka from Amravati district is categorized as Saline,,,
"",Aurangabad,,,,,
4,(Chhatrapati,1,Phulambre,,,
"",Sambhaji Nagar),,,,,
5,Buldhana,1,Buldhana,,1,Sangrampur
"",,2,Chikhali,,2,Jalgaon
"",,3,Nandura,,,
6,Jalgaon,1,Amalner,,1,Yawal
"",,2,Muktainagar,,2,Raver
"",,3,Chalisgaon,,,
"",,4,Parola,,,
"",,5,Bhadgaon,,,
"",,6,Jamner,,,
"",,7,Bhusawal,,,
"",,8,Bodwad,,,
"",,9,Pachora,,,
"",,10,Chopda,,,
7,Nashik,1,Yeola 1,Sinnar,,
"",,2,Baglan (Satana) 2,Niphad,,
"",,3,Deola,,,,
"",,4,Chandwad,,,,
8,Pune,1,Ambegaon,1,Shirur,,
"",,2,Junnar,,,,
"",,3,Daund,,,,
"",,4,Khed,,,,
9,Sangli,1,Kavathe Mahankal,,,,
10,Satara,1,Man,,,,
"",,2,Khatav,,,,
11,Solapur,1,Sangola,,,1,Malshiras
"",,2,Pandharpur,,,,
"",,3,Mohol,,,,
"",,4,Karmala,,,,
"",,5,Madha,,,,
"",,6,Mangalwedha,,,,
"",,7,Barshi,,,,
"",,,,,,,
"Abstract: Total Assessment Units:359, Semi-crtical:41, Critical:7, Over-exploited:8, Saline:1 and Safe:302",,,,,,,
"",,,,,,,
"QUALITY PROBLEMS IN ASSESSMENT UNITS, 2024",,,,,,,
MAHARASHTRA,,,,,,,
S.No.,"Name ofDistrict",S.No.,"Assessment Unitsaffected by Fluoride",S.No.,"Assessment Unitsaffected by Arsenic",S.No.,"Assessment Unitsaffected by  Salinity"
1,"Ahmednagar",,,,,1,Nagar
"",,,,,,2,Newasa
"",,,,,,3,Parner
"",,,,,,4,Rahuri
"",,,,,,5,Shrigonda
"",,,,,,,
2,Akola,,,,,1,Akola
"",,,,,,2,Akot
"",,,,,,3,Balapur
"",,,,,,4,Barsi Takli
"",,,,,,5,Murtizapur
"",,,,,,6,Telhara
"",,,,,,,
3,Amravati,,,,,1,Achlapur
"",,,,,,2,Amravati
"",,,,,,3,Anjangaon Surji
"",,,,,,4,Bhatkuli
"",,,,,,5,Chandur Bazar
"",,,,,,6,Chikhaldara
"",,,,,,7,Daryapur
"",,,,,,8,Morshi
"",,,,,,9,Nandgaon
"",,,,,,,
4,Nagpur,,,,,1,Nagpur Urban
5,Washim,,,,,1,Karanja
"",,,,,,2,Mangrulpir
"",,,,,,,
6,Buldhana,,,,,1,Jalgaon
"",,,,,,2,Khamgaon
"",,,,,,3,Nandura
"",,,,,,4,Sangrampur
"",,,,,,5,Shegaon
"",,,,,,,
7,Pune,,,,,1,Baramati
"",,,,,,2,Daund
"",,,,,,3,Indapur
"",,,,,,4,Purandhar
"",,,,,,,
8,Sangli,,,,,1,Kadegaon
"",,,,,,2,Khanapur
"",,,,,,3,Miraj
"",,,,,,4,Palus
"",,,,,,5,Shirala
"",,,,,,6,Tasgaon
"",,,,,,7,Walwa
"",,,,,,,
9,Satara,,,,,1,Karad
"",,,,,,,
ABSTRACT,,,,,,,
"Total No. ofAssessed Units","Number of Assessment Unitsaffected by Fluoride","Number of Assessment Unitsaffected by Arsenic","Number of Assessment Unitsaffected by Salinity",,,,
359,0,0,40,,,,
Saline Assessment Units of Maharashtra as per Ground Water Resource Assessment-2024,,,
S.No.,Name of State,Name of District,Name of Assessment Units
1,Maharashtra,Amravati,Daryapur (C)
"",Summary of Assessment units improved or deteriorated from 2023 to 2024 assessment
"",
"",Number of
"",Total Number of Number of Number of Assessment
"",Name of Number of Assessment Assessment Assessment Units Newly formed or
S.No.,
"",State Asssessed Units Units Units With Previous Assessment
"",Units Improved Deteriorated No Change Units
"",Reorganized
1,Maharashtra 359 22 0 331 6
"",,COMPARISON OF CATEGORIZATION OF ASSESSMENT UNITS (2023 AND 2024 ),
"",,MAHARASHTRA,
"",,Stage of Stage of,
"",,Name of Ground Name of Ground,
"",Name of,Categorization Name of Categorization,
S.No,,Assessment Water Assessment Water,Remark
"",District,in 2023 District in 2024,
"",,Unit Extraction Unit Extraction,
"",,(%) 2023 (%) 2024,
1,Amravati,Achlapur 97 Critical Amravati Achlapur 97 Semi_critical,Improved
