"",,,,,,
"",,,Table-3.1: District wise annual rainfall and departure during 2023,,,
District,Jan,Feb,Mar Apr May Jun Jul Aug Sep Oct Nov,Dec,Annual Rainfall (mm),Departure
"",,,,,Actual Normal,(%)
Ahamadnagar,3.3,0.0,11.1 0.0 0.1 58.9 109.4 24.1 207.0 7.4 46.2,18.8,714.0 761.6,-6%
Akola,0.2,0.0,11.6 0.0 0.0 30.3 294.2 41.2 143.9 1.7 56.1,4.3,792.8 892.1,-11%
Amravati,4.4,0.0,15.4 0.0 0.6 59.9 317.4 63.2 175.0 6.8 49.6,6.2,1259.3 1971.1,-36%
Aurangabad,4.4,0.0,20.4 0.0 0.0 66.9 178.9 44.2 247.3 2.7 87.3,27.4,629.9 729.4,-14%
Beed,1.0,0.0,13.8 0.0 0.0 55.1 178.0 30.7 183.4 6.2 50.2,13.5,1027.8 1057.6,-3%
Bhandara,4.9,0.0,22.1 0.0 0.0 175.8 446.4 243.1 276.5 6.8 14.5,9.0,864.2 908.4,-5%
Buldhana,1.7,0.0,21.2 0.0 0.2 33.7 284.8 71.8 197.8 0.7 83.1,19.2,1186.8 1368.3,-13%
Chandrapur,1.3,0.0,14.3 0.0 0.0 83.7 552.8 175.1 266.8 5.2 8.3,4.4,805.9 1108.2,-27%
Dhule,0.5,0.0,12.0 0.0 0.0 70.2 157.8 42.1 166.5 2.3 30.3,7.4,1112.0 1159.0,-4%
Gadchiroli,1.8,0.0,21.4 0.0 0.0 141.2 635.0 324.5 329.1 8.1 2.5,3.9,1199.0 1250.0,-4%
Gondia,2.9,0.0,27.1 0.0 0.0 218.2 408.7 181.1 304.6 12.1 16.9,15.2,621.0 868.7,-29%
Hingoli,0.0,0.0,25.8 0.0 0.9 44.8 371.4 87.9 234.0 6.4 89.5,3.4,828.1 920.6,-10%
Jalgaon,0.9,0.0,12.8 0.0 0.3 44.0 261.1 48.5 235.6 0.9 43.8,13.2,679.5 687.9,-1%
Jalna,4.2,0.0,18.6 0.0 0.3 60.3 186.1 49.6 186.7 1.8 93.6,28.7,487.3 629.8,-23%
Kolhapur,0.2,0.0,2.5 0.0 4.6 120.6 714.0 164.7 173.1 38.9 33.4,7.3,532.0 717.3,-26%
Latur,0.0,0.0,18.9 0.0 0.1 62.7 263.2 29.5 161.3 27.4 38.1,1.9,910.0 958.0,-5%
Nagpur,5.5,0.0,12.2 0.0 0.0 112.0 380.3 172.4 298.9 8.9 30.0,7.6,506.1 731.2,-31%
Nanded,0.0,0.0,15.4 0.0 0.1 49.1 527.2 99.0 220.9 3.2 60.7,0.9,489.0 610.2,-20%
Nandurbar,0.4,0.0,19.5 0.0 0.0 96.8 296.7 69.5 270.8 1.1 72.9,0.5,2727.1 2512.9,9%
Nasik,0.0,0.0,24.9 0.0 0.3 101.7 287.8 88.4 261.0 8.5 31.3,2.0,603.1 833.9,-28%
Osmanabad,0.1,0.0,7.5 0.0 0.7 32.5 227.8 27.4 143.1 23.0 29.0,15.1,3174.9 3297.4,-4%
Palghar,0.0,0.0,13.7 0.0 0.0 530.8 1497.0 216.5 429.7 5.8 33.6,0.0,976.6 897.2,9%
Parabhani,0.2,0.0,13.2 0.0 1.0 57.8 206.1 70.6 184.7 1.0 82.7,3.9,486.3 571.3,-15%
Pune,0.2,0.0,10.6 0.0 2.0 102.9 321.6 101.4 205.7 30.2 30.4,3.6,2801.3 2415.4,16%
Raigadh,0.0,0.0,12.6 0.0 0.0 461.3 1886.4 309.3 495.5 85.5 23.2,0.0,3273.8 3105.7,5%
Ratnagiri,0.0,0.0,0.6 0.0 0.4 437.9 1693.4 395.7 518.2 119.2 18.2,0.0,776.0 872.6,-11%
Sangli,0.5,0.0,2.4 0.0 1.9 35.1 168.2 33.9 112.6 38.5 72.1,22.2,460.6 651.8,-29%
Satara,0.2,0.0,8.5 0.0 2.6 105.6 358.8 97.1 122.4 49.2 26.8,4.9,3183.5 3602.7,-12%
Sindhudurg,0.0,0.0,0.0 0.0 3.7 462.7 1755.1 335.5 449.1 121.1 47.7,0.0,808.6 946.6,-15%
Solapur,0.3,0.0,4.7 0.0 0.2 30.3 183.1 20.6 136.4 38.9 36.4,9.7,984.9 908.0,8%
Thane,0.0,0.0,17.5 0.0 0.4 465.4 1492.7 274.7 493.7 12.5 44.5,0.0,661.1 724.8,-9%
Wardha,3.1,0.1,5.6 0.0 0.6 65.0 393.9 126.4 251.9 9.2 30.7,3.2,583.5 802.4,-27%
Washim,0.0,0.0,24.8 0.0 0.5 58.4 375.6 76.4 162.1 0.8 91.8,2.5,698.3 891.0,-22%
Yavatmal,0.5,0.0,12.3 0.0 0.1 59.3 534.7 103.0 226.7 3.1 57.0,3.1,1467.4 1430.8,3%
State,1.2,0.0,14.0 0.0 0.6 135.0 527.8 124.7 249.2 20.5 45.9,7.7,1126.8 1229.2,-8%
